"WB, run_case=128, group_num=16, sort_take_num=16"
   ,   ,   ,   ,   ,   ,   ,pub,pub,pub,pub,road,road,road,road,crossroad,crossroad,crossroad,crossroad,train,train,train,train,car,car,car,car,cafeteria,cafeteria,cafeteria,cafeteria,mensa,mensa,mensa,mensa,callcenter,callcenter,callcenter,callcenter,voice_distractor,voice_distractor,voice_distractor,voice_distractor,nobgn,nobgn,nobgn,nobgn,AVG,AVG,AVG,AVG
Type,xx,xx,xx,xx,xx,xx,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR
/home/philip.shen/3Quest/LuxShare/0623/Boommic_SWout/dut,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,2.840550,4.154481,2.914813,29.453750,2.443025,4.164413,2.665425,32.881812,3.009269,4.283569,3.091669,33.826437,3.096144,4.268156,3.148156,34.712750,3.542413,4.314669,3.485562,37.809625,3.580419,4.189887,3.467494,19.377625,3.236650,4.173863,3.203125,17.238875,3.818250,4.232238,3.674519,16.904438,3.936700,4.056738,3.697850,14.161112,4.077944,4.363425,3.938181,10.014188,3.358136,4.220144,3.328679,24.638061
