   ,   ,   ,   ,   ,   ,   ,pub,pub,pub,pub,road,road,road,road,crossroad,crossroad,crossroad,crossroad,train,train,train,train,car,car,car,car,cafeteria,cafeteria,cafeteria,cafeteria,mensa,mensa,mensa,mensa,callcenter,callcenter,callcenter,callcenter,voice_distractor,voice_distractor,voice_distractor,voice_distractor,nobgn,nobgn,nobgn,nobgn,AVG,AVG,AVG,AVG
Type,xx,xx,xx,xx,xx,xx,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR,SMOS,NMOS,GMOS,delta_SNR
/home/philip.shen/3Quest/LuxShare/Luxshare_0624/Internalmic_SWin/dut,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,1.942594,2.833337,1.825394,-0.305027,2.215900,2.774881,1.950331,0.956813,2.393063,2.871956,2.099112,4.445653,2.563556,2.010319,1.849562,5.995617,2.415631,2.521188,1.964825,1.454074,2.665369,2.076313,1.943919,0.830924,2.560850,2.600744,2.094619,0.968900,2.751288,2.472675,2.169269,1.481042,2.826800,2.636963,2.288394,1.200271,3.629313,3.579225,3.257406,12.166000,2.596436,2.637760,2.144283,2.919427
